DATE,WDDNS
1989-04-03,279.9
1989-04-10,283.8
1989-04-17,286.1
1989-04-24,282.1
1989-05-01,278.8
1989-05-08,275.2
1989-05-15,276.9
1989-05-22,269.2
1989-05-29,267.0
1989-06-05,281.2
1989-06-12,277.5
1989-06-19,276.5
1989-06-26,268.8
1989-07-03,283.7
1989-07-10,290.1
1989-07-17,282.8
1989-07-24,274.5
1989-07-31,272.9
1989-08-07,280.7
1989-08-14,279.0
1989-08-21,278.0
1989-08-28,269.7
1989-09-04,274.6
1989-09-11,282.5
1989-09-18,277.3
1989-09-25,267.7
1989-10-02,278.8
1989-10-09,281.5
1989-10-16,285.5
1989-10-23,277.1
1989-10-30,273.1
1989-11-06,281.6
1989-11-13,280.3
1989-11-20,282.1
1989-11-27,280.3
1989-12-04,284.9
1989-12-11,285.7
1989-12-18,288.3
1989-12-25,289.7
1990-01-01,303.7
1990-01-08,296.8
1990-01-15,286.5
1990-01-22,276.5
1990-01-29,267.7
1990-02-05,274.9
1990-02-12,270.9
1990-02-19,270.0
1990-02-26,267.2
1990-03-05,274.5
1990-03-12,271.8
1990-03-19,270.4
1990-03-26,265.5
1990-04-02,276.0
1990-04-09,281.0
1990-04-16,285.9
1990-04-23,277.5
1990-04-30,271.9
1990-05-07,270.8
1990-05-14,269.8
1990-05-21,269.2
1990-05-28,261.5
1990-06-04,275.6
1990-06-11,276.9
1990-06-18,275.1
1990-06-25,268.3
1990-07-02,281.4
1990-07-09,282.9
1990-07-16,280.2
1990-07-23,271.1
1990-07-30,269.0
1990-08-06,277.7
1990-08-13,279.8
1990-08-20,279.4
1990-08-27,268.9
1990-09-03,275.1
1990-09-10,281.7
1990-09-17,279.8
1990-09-24,270.7
1990-10-01,279.1
1990-10-08,281.4
1990-10-15,283.0
1990-10-22,274.3
1990-10-29,271.1
1990-11-05,280.5
1990-11-12,279.8
1990-11-19,282.8
1990-11-26,278.3
1990-12-03,277.5
1990-12-10,283.7
1990-12-17,288.9
1990-12-24,290.3
1990-12-31,298.4
1991-01-07,295.9
1991-01-14,281.6
1991-01-21,272.3
1991-01-28,262.7
1991-02-04,269.2
1991-02-11,269.8
1991-02-18,269.9
1991-02-25,262.7
1991-03-04,268.1
1991-03-11,269.9
1991-03-18,269.3
1991-03-25,264.4
1991-04-01,277.6
1991-04-08,280.6
1991-04-15,283.8
1991-04-22,276.4
1991-04-29,267.8
1991-05-06,274.0
1991-05-13,273.4
1991-05-20,273.5
1991-05-27,263.1
1991-06-03,276.0
1991-06-10,282.5
1991-06-17,282.9
1991-06-24,271.6
1991-07-01,283.6
1991-07-08,289.4
1991-07-15,284.3
1991-07-22,276.4
1991-07-29,271.7
1991-08-05,283.1
1991-08-12,279.6
1991-08-19,280.2
1991-08-26,272.6
1991-09-02,276.0
1991-09-09,283.7
1991-09-16,281.9
1991-09-23,271.8
1991-09-30,274.9
1991-10-07,286.2
1991-10-14,285.1
1991-10-21,284.5
1991-10-28,277.2
1991-11-04,286.8
1991-11-11,288.7
1991-11-18,294.3
1991-11-25,285.3
1991-12-02,297.9
1991-12-09,298.4
1991-12-16,301.5
1991-12-23,301.5
1991-12-30,307.0
1992-01-06,314.9
1992-01-13,303.5
1992-01-20,296.0
1992-01-27,289.7
1992-02-03,294.9
1992-02-10,295.5
1992-02-17,297.9
1992-02-24,293.8
1992-03-02,296.4
1992-03-09,302.3
1992-03-16,305.8
1992-03-23,298.6
1992-03-30,301.2
1992-04-06,314.3
1992-04-13,316.3
1992-04-20,319.8
1992-04-27,305.2
1992-05-04,308.8
1992-05-11,309.7
1992-05-18,311.3
1992-05-25,299.6
1992-06-01,309.3
1992-06-08,313.5
1992-06-15,315.8
1992-06-22,305.4
1992-06-29,306.1
1992-07-06,325.9
1992-07-13,319.5
1992-07-20,316.8
1992-07-27,307.8
1992-08-03,318.5
1992-08-10,321.3
1992-08-17,322.7
1992-08-24,313.0
1992-08-31,318.2
1992-09-07,325.0
1992-09-14,330.3
1992-09-21,323.1
1992-09-28,320.7
1992-10-05,336.6
1992-10-12,335.6
1992-10-19,338.5
1992-10-26,330.1
1992-11-02,339.2
1992-11-09,342.1
1992-11-16,347.0
1992-11-23,336.5
1992-11-30,347.3
1992-12-07,350.7
1992-12-14,354.3
1992-12-21,352.1
1992-12-28,356.1
1993-01-04,365.8
1993-01-11,355.9
1993-01-18,345.7
1993-01-25,332.4
1993-02-01,333.3
1993-02-08,333.4
1993-02-15,335.7
1993-02-22,332.2
1993-03-01,333.8
1993-03-08,337.9
1993-03-15,338.7
1993-03-22,332.3
1993-03-29,330.8
1993-04-05,349.8
1993-04-12,354.5
1993-04-19,354.2
1993-04-26,340.0
1993-05-03,350.8
1993-05-10,352.9
1993-05-17,356.2
1993-05-24,341.9
1993-05-31,353.6
1993-06-07,362.1
1993-06-14,363.2
1993-06-21,355.8
1993-06-28,352.0
1993-07-05,371.5
1993-07-12,368.8
1993-07-19,366.3
1993-07-26,354.8
1993-08-02,365.8
1993-08-09,369.3
1993-08-16,372.7
1993-08-23,361.2
1993-08-30,362.6
1993-09-06,376.2
1993-09-13,378.7
1993-09-20,372.8
1993-09-27,361.1
1993-10-04,379.6
1993-10-11,380.4
1993-10-18,386.5
